Line	Treat	Place	Year	Hea	Height	Yield
Sca008	N	Irlbach	2003	61	55	41.39194139
Sca008	T	Irlbach	2003	62	55	40.75091575
Sca008	N	Morgenrot	2003	64	106	44.782
Sca008	T	Morgenrot	2003	65	114	42.26
Sca008	N	Diko	2004	72	117.7	52.7733
Sca008	T	Diko	2004	74	117	56.4633
Sca008	N	Gudow	2004	69	102	42.44
Sca008	T	Gudow	2004	69	105	45.11
Sca008	N	Irlbach	2004	70	65	33.6935
Sca008	T	Irlbach	2004	68	75	42.2084
Sca008	N	Morgenrot	2004	68	118	47.484
Sca008	T	Morgenrot	2004	70	120	43.82
Sca009	N	Diko	2003	72	108	49.85
Sca009	T	Diko	2003	73	90	48.3333
Sca009	N	Gudow	2003	72	110	32.125
Sca009	T	Gudow	2003	72	102	24.375
Sca009	N	Irlbach	2003	66	60	43.58974359
Sca009	T	Irlbach	2003	64	65	36.81318681
Sca009	N	Morgenrot	2003	68	104	48.698
Sca009	T	Morgenrot	2003	68	113	42.502
Sca009	N	Diko	2004	76	128.3	50.9583
Sca009	T	Diko	2004	76	121.7	55.32
Sca009	N	Gudow	2004	70	118	40.33
Sca009	T	Gudow	2004	70	120	38.33
Sca009	N	Irlbach	2004	74	80	24.3545
Sca009	T	Irlbach	2004	69	80	45.3214
Sca009	N	Morgenrot	2004	67	128	41.112
Sca009	T	Morgenrot	2004	75	116	42.664
Sca010	N	Diko	2003	67	85	67.3833
Sca010	T	Diko	2003	67	70	45
Sca010	N	Gudow	2003	69	84	57
Sca010	T	Gudow	2003	69	76	44.625
Sca010	N	Irlbach	2003	60	50	46.42857143
Sca010	T	Irlbach	2003	60	40	49.81684982
Sca010	N	Morgenrot	2003	63	102	60.488
Sca010	T	Morgenrot	2003	67	84	47.79
Sca010	N	Diko	2004	68	95	72.3467
Sca010	T	Diko	2004	66	80	72.3667
Sca010	N	Gudow	2004	67	75	52.33
Sca010	T	Gudow	2004	67	84	60.67
Sca010	N	Irlbach	2004	68	50	31.8623
Sca010	T	Irlbach	2004	64	55	46.6947
Sca010	N	Morgenrot	2004	64	103	61.708
Sca010	T	Morgenrot	2004	68	100	58.3
Sca011	N	Diko	2003	73	100	44.5833
Sca011	T	Diko	2003	74	95	31.6667
Sca011	N	Gudow	2003	72	102	33.375
Sca011	T	Gudow	2003	72	92	28.875
Sca011	N	Irlbach	2003	63	60	32.05128205
Sca011	T	Irlbach	2003	62	60	26.83150183
Sca011	N	Morgenrot	2003	69	108	30.926
Sca011	T	Morgenrot	2003	69	100	28.83
Sca011	N	Diko	2004	75	120.7	37.8083
Sca011	T	Diko	2004	75	119.3	41.2683
Sca011	N	Gudow	2004	70	103	30.22
Sca011	T	Gudow	2004	73	110	29.56
Sca011	N	Irlbach	2004	70	75	30.7636
Sca011	T	Morgenrot	2004	70	118	28.094
Sca011	N	Morgenrot	2004	76	120	22.184
Sca012	T	Diko	2003	70	113	49.4667
Sca012	N	Diko	2003	71	90	45.8333
Sca012	T	Gudow	2003	71	100	43.125
Sca012	N	Gudow	2003	71	88	37.125
Sca012	T	Irlbach	2003	62	50	37.17948718
Sca012	N	Irlbach	2003	63	55	40.56776557
Sca012	T	Morgenrot	2003	64	114	44.556
Sca012	N	Morgenrot	2003	63	100	40.364
Sca012	T	Diko	2004	74	113.3	52.3817
Sca012	N	Diko	2004	74	120.7	50.8633
Sca012	T	Gudow	2004	69	102	41.33
Sca012	N	Gudow	2004	69	108	37.11
Sca012	T	Irlbach	2004	68	75	28.8409
Sca012	N	Irlbach	2004	68	85	39.3701
Sca012	T	Morgenrot	2004	69	110	51.468
Sca012	N	Morgenrot	2004	70	109	49.55
Sca013	T	Diko	2003	75	80	63.55
Sca013	N	Diko	2003	75	73	58.5
Sca013	T	Gudow	2003	74	86	74.25
Sca013	N	Gudow	2003	75	72	63.25
Sca013	T	Irlbach	2003	69	50	50.09157509
Sca013	N	Irlbach	2003	67	45	53.11355311
Sca013	T	Morgenrot	2003	72	84	68.946
Sca013	N	Morgenrot	2003	75	74	58.196
Sca013	T	Diko	2004	78	93	82.5
Sca013	N	Diko	2004	79	89	72.4133
Sca013	T	Gudow	2004	72	85	65.56
Sca013	N	Gudow	2004	73	85	69.67
Sca013	T	Irlbach	2004	76	55	51.6389
Sca013	N	Irlbach	2004	72	60	73.7044
Sca013	T	Morgenrot	2004	72	101	75.036
Sca013	N	Morgenrot	2004	74	99	74.694
Sca014	T	Diko	2003	72	93	56.8167
Sca014	N	Diko	2003	73	95	51.5
Sca014	T	Gudow	2003	72	102	54.75
Sca014	N	Gudow	2003	71	88	47
Sca014	T	Irlbach	2003	63	60	39.46886447
Sca014	N	Irlbach	2003	62	60	47.61904762
Sca014	T	Morgenrot	2003	66	104	57.246
Sca014	N	Morgenrot	2003	67	107	52.316
Sca014	T	Diko	2004	75	116.3	61.13
Sca014	N	Diko	2004	74	109	51.86
Sca014	T	Gudow	2004	69	104	44.67
Sca014	N	Gudow	2004	69	102	48.78
Sca014	T	Irlbach	2004	73	70	35.5246
Sca014	N	Irlbach	2004	68	80	56.9493
Sca014	T	Morgenrot	2004	66	119	61.644
Sca014	N	Morgenrot	2004	75	114	60.434
Sca015	T	Diko	2003	74	83	59.6167
Sca015	N	Diko	2003	77	65	48.5
Sca015	T	Gudow	2003	75	80	52.25
Sca015	N	Gudow	2003	75	64	43.25
Sca015	T	Irlbach	2003	66	45	39.92673993
Sca015	N	Irlbach	2003	67	45	34.34065934
Sca015	T	Morgenrot	2003	71	81	57.024
Sca015	N	Morgenrot	2003	76	87	56.566
Sca015	T	Diko	2004	80	85	70.47
Sca015	N	Diko	2004	81	78	60.1417
Sca015	T	Gudow	2004	75	88	60.78
Sca015	N	Gudow	2004	75	82	64.22
Sca015	T	Irlbach	2004	75	50	42.7577
Sca015	N	Irlbach	2004	74	55	48.6175
Sca015	T	Morgenrot	2004	73	92	63.096
Sca015	N	Morgenrot	2004	76	98	70.054
Sca016	T	Diko	2003	72	105	55.9167
Sca016	N	Diko	2003	73	92	49
Sca016	T	Gudow	2003	71	100	47.125
Sca016	N	Gudow	2003	72	92	49.125
Sca016	T	Irlbach	2003	63	60	41.66666667
Sca016	N	Irlbach	2003	64	60	46.15384615
Sca016	T	Morgenrot	2003	67	108	56.964
Sca016	N	Morgenrot	2003	68	109	45.234
Sca016	T	Diko	2004	74	118.7	62.1183
Sca016	N	Diko	2004	74	120	57.4917
Sca016	T	Gudow	2004	69	100	46.56
Sca016	N	Gudow	2004	70	110	47.67
Sca016	T	Irlbach	2004	72	75	41.659
